,cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,ufsquare,Sum,AVGfdust,AVGufdust,AVGozone,AVGnd,AVGcm,AVGsgas,SDfdus,SDufdust,SDozone,SDnd,SDcm,SDsgas
0,20180101,100,도심권,111121,중구,32,18,0.015,0.028,0.5,0.005,324,50.548,38.1554,22.0218,0.022,0.0281,0.5092,0.0043,22.3433,18.7646,0.0122,0.0136,0.2098,0.0016
1,20180101,104,동남권,111273,송파구,52,23,0.013,0.028,0.7,0.004,529,75.745,AVG=평균,,,,,,,,,,,
2,20180101,104,동남권,111262,서초구,49,24,0.011,0.031,0.6,0.005,576,73.647,SD=표준편차,,,,,,,,,,,
3,20180101,104,동남권,111261,강남구,34,22,0.01,0.033,0.6,0.006,484,56.649,,,,,,,,,,,,
4,20180101,103,서남권,111301,양천구,37,21,0.008,0.037,0.7,0.005,441,58.75,,,,,,,,,,,,
5,20180101,103,서남권,111281,금천구,39,21,0.01,0.036,0.6,0.005,441,60.651,,,,,,,,,,,,
6,20180101,103,서남권,111251,관악구,38,23,0.008,0.036,0.5,0.008,529,61.552,,,,,,,,,,,,
7,20180101,103,서남권,111241,동작구,40,19,0.012,0.035,0.5,0.005,361,59.552,,,,,,,,,,,,
8,20180101,103,서남권,111231,영등포구,47,24,0.01,0.03,0.7,0.007,576,71.747,,,,,,,,,,,,
9,20180101,103,서남권,111221,구로구,47,28,0.008,0.025,0.6,0.007,784,75.64,,,,,,,,,,,,
10,20180101,103,서남권,111212,강서구,0,13,0.012,0.036,0.7,0.004,169,13.752,,,,,,,,,,,,
11,20180101,102,동북권,111311,노원구,42,21,0.012,0.034,0.8,0.007,441,63.853,,,,,,,,,,,,
12,20180101,104,동남권,111274,강동구,48,24,0.01,0.038,0.7,0.005,576,72.753,,,,,,,,,,,,
13,20180101,102,동북권,111291,강북구,38,18,0.018,0.026,0.6,0.004,324,56.648,,,,,,,,,,,,
14,20180101,102,동북권,111171,도봉구,44,22,0.016,0.029,0.6,0.006,484,66.651,,,,,,,,,,,,
15,20180101,102,동북권,111161,성북구,43,19,0.01,0.04,0.7,0.007,361,62.757,,,,,,,,,,,,
16,20180101,102,동북권,111152,동대문구,46,20,0.013,0.031,0.6,0.006,400,66.65,,,,,,,,,,,,
17,20180101,102,동북권,111151,중랑구,48,22,0.01,0.036,0.7,0.007,484,70.753,,,,,,,,,,,,
18,20180101,102,동북권,111142,성동구,47,23,0.01,0.032,0.3,0.006,529,70.348,,,,,,,,,,,,
19,20180101,102,동북권,111141,광진구,41,21,0.012,0.037,0.7,0.005,441,62.754,,,,,,,,,,,,
20,20180101,101,서북권,111201,마포구,39,21,0.012,0.033,0.6,0.006,441,60.651,,,,,,,,,,,,
21,20180101,101,서북권,111181,은평구,41,21,0.014,0.017,0.6,0.003,441,62.634,,,,,,,,,,,,
22,20180101,100,도심권,111131,용산구,38,18,0.012,0.029,0.3,0.005,324,56.346,,,,,,,,,,,,
23,20180101,100,도심권,111123,종로구,34,17,0.016,0.029,0.6,0.007,289,51.652,,,,,,,,,,,,
24,20180102,104,동남권,111274,강동구,46,25,0.009,0.041,0.8,0.005,625,71.855,,,,,,,,,,,,
